#separator:tab
#html:true
#deck column:1
#notetype column:2
#tags column:3
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	a	and
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	anglicky	English
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	ano	yes
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(255, 0, 0);"">banka [f]</span>"	bank
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	být	be
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	co	what
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	česky	Czech (adv)
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	český	Czech (adj)
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(0, 255, 0);"">číslo [n]</span>"	number
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	děkovat	thank
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	dělat	do
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(0, 0, 255);"">den [mi]</span>"	day
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(0, 0, 255);"">dialog [mi]</span>"	dialogue
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	formální	formal
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(255, 0, 0);"">informace [f]</span>"	information
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	já	I
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	jak	how
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	jednou	once
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	ještě	even, still, again, yet, more
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	jo coll.	yeah
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	kdo	who
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	kontaktní	contact
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(0, 0, 255);"">krok [mi]</span>"	step
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(255, 0, 0);"">lekce [f]</span>"	lesson
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	mít	have
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	mluvit	speak, talk
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	německy	German
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(255, 0, 0);"">otázka [f]</span>"	question
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	poslouchat	listen
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(255, 0, 0);"">profese [f]</span>"	profession
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	prosit	ask for
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	psát*, píšu	write
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	rozumět	understand
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	rusky	Russian
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	říct*, řeknu pf.	say
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	seznamovat se	meet, get to know
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	slovní	word
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(0, 255, 0);"">slovo [n]</span>"	word
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	ten	that
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	těšit (Těší mě.)	please (Nice to meet you.)
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	ty	you
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	"<span style=""color: rgb(255, 0, 0);"">výslovnost [f]</span>"	pronunciation
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	za	behind, for, on, in
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-009	znamenat	mean
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">adjektivum [n]</span>"	adjective
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	ahoj	hi
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	aktivní	active
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">animatum [n]</span>"	animate noun
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">auto [n]</span>"	car
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 0, 255);"">autobus [mi]</span>"	bus
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">centrum [n]</span>"	center
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">cvičení [n]</span>"	exercise
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	často	often
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(79, 216, 186);"">doktor, doktorka [ma]</span>"	doctor
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	energický	energetic
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">espresso [n]</span>"	espresso
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">femininum [n]</span>"	feminine noun
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 0, 255);"">film [mi]</span>"	movie
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(255, 0, 0);"">fotografie [f]</span>"	photo
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 0, 255);"">hotel [mi]</span>"	hotel
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">infocentrum [n]</span>"	info center
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	inteligentní	smart, intelligent
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	jaký	what, what kind, how
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 0, 255);"">jazyk [mi]</span>"	language
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	jiný	other, different
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	k	to
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(79, 216, 186);"">kamarád, kamarádka [ma]</span>"	friend
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 255, 0);"">kino [n]</span>"	cinema
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	komunikovat	communicate
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(0, 0, 255);"">koncert [mi]</span>"	concert
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	končit	end
Czech::Czech Step by Step A1-A2::Lekce-01	Basic (and reversed card)	lekce-01 strana-010	"<span style=""color: rgb(255, 0, 0);"">konference [f]</span>"	conference
